Name,Species,Breed,Prior Position,Prior Employer,Interview Date,Hire Year,Hire Date,Termination Year,Termination Date,Termination Reason,Post Employment Position,Nick Name,Temperment,Fur Color,Age,Height,Weight,Offer Sent,Starting Salary,Biter,Hired
Wallace Whitfield Riddick,Human,,,,1899-02-17,1899,1899-02-23,,,,,,patient,cream,5.0,34.5,40.0,1,9481,0,1
Tige,Dog,English Bulldog,,,1910-02-16,1910,1910-02-17,,,,,,sweet,brown,10.9,14.2,51.0,1,10130,0,1
Togo,Dog,American Bulldog,,,1910-06-28,1910,1910-07-01,,,,,,sweet,brown,10.4,24.4,90.0,1,9572,0,1
State,Wolf,Timber Wolf,,,1940-05-02,1940,1940-05-03,1946.0,1940-05-17,New Job,Traveling Zoo,,bewildered,multi-color,9.8,29.8,112.5,1,9921,0,1
Lobo I,Wolf,Timber Wolf,Zoo,Philadelphia Zoo,1959-08-26,1959,1959-09-03,1959.0,1959-05-29,Passed Away,,,quiet,gray,10.3,27.2,100.15,1,9509,0,1
Lobo II,Wolf,Timber Wolf,,,1960-02-17,1960,1960-02-23,,,Escaped,Art Thief,,devilishly clever,multi-color,7.4,31.0,120.73,1,10424,0,1
Lobo III,Faux Wolf,Coyote,,,1966-02-24,1966,1966-03-07,1970.0,1970-02-27,Retired,,,social,buff,9.7,24.6,30.5,1,9313,0,1
Lobo II (2),Mix,Wolf/German Shepard,Pet,Faculty Family ,1970-05-29,1970,1970-06-12,,,,,Fritz,calm,white,8.9,24.6,68.5,1,9709,0,1
Tuffy,Dog,Tamaskan,,,2010-10-18,2010,2010-10-25,,,Puppy Mill Puppy,,,social,brown,11.6,28.5,75.0,1,10349,0,1
Tuffy I,Dog,Tamaskan,Child Actor,Abrams Artists Agency,2010-10-11,2010,2010-10-13,,,Retired,Mattress Sales,Wave,social,brown,10.8,24.3,70.0,1,9965,0,1
Tuffy II,Dog,Tamaskan,,,2016-02-02,2016,2016-02-09,2020.0,2020-11-09,Passed Away,,Hulk,social,white,11.2,26.2,72.0,1,10086,0,1
