#,Name,Birth Year,Death Year,Occupation(s),Country Born In,Birthdate,Age,Graduation Month/Year,Workstudy Position,Workstudy Hourly Rate,GPA,College,Loved Library?,Favorite NCSU Hangout,Favorite Raleigh Hangout
88,Adrian Wilson,1979,,American football player,United States,1979-10-12,45,Dec/1997,IT,15.52,3.88,Humanities and Social Sciences,0,Library,Cup A Joe
95,Ahmet Özal,1955,,"businessperson, politician",Turkey,1955-09-05,69,Dec/1974,Campus Events,16.44,3.54,Education,0,Fountain Dining Hall,The Optimist
72,Akihiro Kitamura,1979,,"seiyū, actor, television actor",Japan,1979-03-25,45,Dec/1997,IT,16.89,2.17,Natural Resources,0,Free Expression Tunnel,The Optimist
10,Anna Camp,1982,,"film actor, television actor, stage actor, singer",United States,1982-09-27,42,Dec/2000,Campus Events,14.84,2.18,Veterinary Medicine,0,Fountain Dining Hall,Mitch's Tavern
5,Anthony Mackie,1978,,"stage actor, film actor, television actor",United States,1978-09-23,46,Dec/1996,Library,17.79,3.55,Textiles,0,The Brickyard,State Farmers Market Restaurant
56,Archie Miller,1978,,"basketball player, basketball coach",United States,1978-10-30,46,Dec/1996,Library,16.97,2.64,Design,0,The Brickyard,Sammy's
53,Berlinda Tolbert,1949,,"film actor, actor, television actor",United States,1949-11-04,75,May/1967,Dining,15.14,3.27,Agriculture and Life Sciences,0,Free Expression Tunnel,Jubala Coffee
30,Bill Cowher,1957,,"American football coach, television presenter, American football player",United States,1957-05-08,67,Dec/1975,IT,18.57,3.08,Natural Resources,0,University Theater,Ruckus Pizza
16,Billy Magnussen,1985,,"actor, film actor, stage actor, songwriter, television actor",United States,1985-04-20,39,Dec/2002,IT,14.18,3.04,Poole College of Management,0,Library,Sammy's
48,Bradley Chubb,1996,,American football player,United States,1996-06-24,28,Dec/2015,IT,16.52,3.06,Engineering,0,Belltower,State Farmers Market Restaurant
27,Brett Gelman,1976,,"comedian, television actor, screenwriter, film actor, podcaster",United States,1976-10-06,48,Dec/1995,IT,14.83,2.48,Veterinary Medicine,0,The Brickyard,Cup A Joe
24,Bridget Regan,1982,,"stage actor, film actor, television actor",United States,1982-02-03,42,Dec/1999,Library,20.79,3.55,Textiles,0,Belltower,Cup A Joe
47,Caleb Martin,1995,,basketball player,United States,1995-09-28,29,May/2014,Library,16.96,3.13,Sciences,1,The Brickyard,Irish Coffee Lab
64,Carlos Rodon,1992,,baseball player,United States,1992-12-10,32,Dec/2011,Library,14.29,3.84,Education,0,Free Expression Tunnel,Boxcar
7,Charlotte Flair,1986,,"volleyball player, personal trainer, professional wrestler",United States,1986-04-05,38,Dec/2004,IT,18.73,3.63,Education,1,Dorm,Boxcar
21,Chris Parnell,1967,,"actor, singer, television star, comedian, voice actor",United States,1967-02-05,57,Dec/1985,IT,13.08,2.73,Agriculture and Life Sciences,1,Free Expression Tunnel,Mitch's Tavern
49,Christina Koch,1979,,"astronaut, engineer",United States,,,Dec/1997,Dining,13.37,2.92,Education,0,Fountain Dining Hall,Mitch's Tavern
66,Cody Martin,1995,,basketball player,United States,1995-09-28,29,May/2013,Campus Events,14.76,2.47,Natural Resources,0,Free Expression Tunnel,Raleigh Beer Garden
68,Craig Zobel,1975,,"screenwriter, film director, film producer",United States,,,Dec/1994,Library,15.26,2.79,Veterinary Medicine,0,The Brickyard,Sammy's
87,Cullen Jones,1984,,swimmer,United States,1984-02-29,40,Dec/2002,IT,15.29,2.26,Agriculture and Life Sciences,0,Belltower,Player's Retreat
93,Damien Wilkins,1980,,basketball player,United States,1980-01-11,44,Dec/1998,IT,16.56,3.47,Humanities and Social Sciences,1,Belltower,State Farmers Market Restaurant
84,Dan Plesac,1962,,baseball player,United States,1962-02-04,62,May/1981,AV Assistant,15.99,3.72,Poole College of Management,0,Talley Student Union,Irish Coffee Lab
8,Dane DeHaan,1986,,"film actor, television actor, stage actor, actor",United States,1986-02-06,38,Dec/2004,IT,17.85,3.59,Education,0,Belltower,The Optimist
9,Danny McBride,1976,,"director, voice actor, screenwriter, film producer, film actor",United States,1976-12-29,48,May/1994,IT,17.18,2.37,Sciences,1,Talley Student Union,Ruckus Pizza
98,David Amerson,1991,,American football player,United States,1991-12-08,33,Dec/2009,Library,17.01,3.61,Natural Resources,0,The Brickyard,Irish Coffee Lab
36,David Gordon Green,1975,,"film producer, television producer, screenwriter, director, film director",United States,,,Dec/1994,Theater,17.27,3.07,Education,1,Fountain Dining Hall,Irish Coffee Lab
40,David Thompson,1954,,basketball player,United States,1954-07-13,70,Dec/1972,Dining,16.0,2.5,Sciences,1,Belltower,Cup A Joe
19,Debbie Allen,1950,,"choreographer, television actor, film actor, television producer, film producer",United States,1950-01-16,74,May/1969,IT,16.72,3.61,Agriculture and Life Sciences,0,Belltower,Player's Retreat
37,Dennis Smith Jr.,1997,,basketball player,United States,1997-11-25,27,May/2015,IT,17.08,2.88,Textiles,0,Free Expression Tunnel,Mitch's Tavern
26,Diedrich Bader,1966,,"film actor, voice actor, television actor, comedian",United States,1966-12-24,58,Dec/1984,IT,16.68,2.88,Textiles,0,Fountain Dining Hall,Jubala Coffee
11,Elizabeth Lail,1992,,"film actor, actor, television actor",United States,1992-03-25,32,May/2011,IT,16.18,3.42,Design,0,Reynolds Coliseum,Boxcar
85,Hesham Qandil,1962,,"engineer, politician",Egypt,1962-09-17,62,Dec/1980,Dining,15.38,4.09,Humanities and Social Sciences,0,Dorm,Cup A Joe
94,Hugh Shelton,1942,,military personnel,United States,1942-01-02,82,May/1959,IT,17.38,3.95,Design,0,Belltower,Irish Coffee Lab
2,Hunter Shafer,1998,,"LGBTQ rights activist, screenwriter, model, actor",United States,1998-12-31,26,Dec/2016,Library,13.32,3.71,University College,0,Library,State Farmers Market Restaurant
42,Hynden Walch,1971,,"film actor, singer, voice actor",United States,,,Dec/1990,IT,17.35,3.64,Natural Resources,0,Belltower,Ruckus Pizza
62,Isaac Powell,1994,,actor,United States,1994-12-30,30,Dec/2012,IT,15.76,2.79,Agriculture and Life Sciences,1,Belltower,Ruckus Pizza
